scenario_id,tool_name,file_name,precision,recall,f1_score,accuracy,total_lines_expected,total_lines_actual,lines_correctly_merged,lines_missing,lines_extra,syntactic_correctness,compilation_status,structural_integrity,lexical_similarity,semantic_similarity,edit_distance,quality_class,confidence_score,error_types,critical_errors,minor_errors,processing_time,file_size_bytes,checksum_expected,checksum_actual
scenario_10,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000665,916,89b8be755863539d99f7fb906afe5fb6,4dd6e7503c49dade67c2eb14cb93cb80
scenario_11,IntelliMerge,userService.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.39999999999999997,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000586,3922,18013a0ef7bb553932b5213e9023e37f,4905ae1550ac244d6d6b6885b3370311
scenario_2,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.021372,974,3f61b9e08e11c1c413150dab66a2d819,06b9d71e46006474b0c36caa30be306d
scenario_23,IntelliMerge,notificationService.java,0.0,0.0,0.0,0.0,1,2,0,1,2,False,unknown,0.39999999999999997,0.9333333333333333,0.875,1,MergeQuality.FAILED,0.7266435185185185,"['unresolved_conflicts', 'syntax_errors', 'missing_content', 'extra_content']",3,2,0.001371,1795,bcede8e2a4205d7a98f926297a7ac333,6c8187c8b1eec00ce32def771e78c6c3
scenario_3,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000859,1055,2d9d1c23ab7076062b1112782d99c7f1,c64201159ee4bec798bbc14eb0a51a3e
scenario_30,IntelliMerge,person.java,0.0,0.0,0.0,0.0,2,1,0,2,1,True,unknown,1.0,0.9333333333333333,0.875,1,MergeQuality.FAILED,0.7266435185185185,"['missing_content', 'extra_content']",2,1,0.032124,463,3f46849a94a820e9612abf8a2f14f3e5,0b1f893c83c0143ebdece19abe2d72bb
scenario_34,IntelliMerge,priceCalculator.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000277,557,3553ac5c1b91cb3d191aef2ba5f0dddd,2f41598fda6d3d7c7e71a143a9549a9c
scenario_36,IntelliMerge,databaseConnection.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.0006,951,90d06d22d7513932a07ed499a880d8e4,35ea39ba442c6299fe9c6029d4f1524a
scenario_37,IntelliMerge,teamManager.java,1.0,0.5,0.6666666666666666,0.0,2,1,1,1,0,False,unknown,0.8,0.6666666666666666,0.5,7,MergeQuality.POOR,0.9907407407407407,"['unresolved_conflicts', 'syntax_errors', 'missing_content']",3,0,0.000329,636,344d95ebaf62555b35d4cb9152ce1ac7,7605f22e2cf0e32644934f33b063a4a0
scenario_38,IntelliMerge,userValidator.java,0.0,0.0,0.0,0.0,1,2,0,1,2,False,unknown,0.39999999999999997,0.9333333333333333,0.875,1,MergeQuality.FAILED,0.7266435185185185,"['unresolved_conflicts', 'syntax_errors', 'missing_content', 'extra_content']",3,2,0.001224,5618,f142a5ce7611204ef90944f657c8d455,8183a7eeb1dab56d868d9d264aecd078
scenario_39,IntelliMerge,Order.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.39999999999999997,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000737,3464,2ce7c0d8a220cdf1d05a60477a4e240f,d12b2d7a5431ca24ce315a3fb14fdc63
scenario_39,IntelliMerge,customer.java,0.0,0.0,0.0,0.0,1,3,0,1,3,False,unknown,0.39999999999999997,0.35,0.21212121212121215,26,MergeQuality.FAILED,0.9689156718702173,"['unresolved_conflicts', 'syntax_errors', 'missing_content', 'extra_content']",3,3,0.001416,3446,3405afc37922f3201b869387c99d115a,a552ce5976550380e1f35cd82c9b8cb8
scenario_4,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.00099,1308,89b8be755863539d99f7fb906afe5fb6,7df7574656afd9d81a75befdbfa0c1b8
scenario_5,IntelliMerge,person.java,0.0,0.0,0.0,0.0,1,0,0,1,0,False,unknown,0.7,0.0,0.0,7,MergeQuality.FAILED,1.0,"['syntax_errors', 'missing_content']",2,0,0.000278,0,89b8be755863539d99f7fb906afe5fb6,d41d8cd98f00b204e9800998ecf8427e
scenario_6,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.00088,967,89b8be755863539d99f7fb906afe5fb6,89b8be755863539d99f7fb906afe5fb6
scenario_7,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000823,639,18e2449632f779738bd45dfbf4e6d9ee,cde30c76ea9723015d27916ad0c4dd8d
scenario_8,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000473,1135,89b8be755863539d99f7fb906afe5fb6,80e27ee413636749b03f64c0b181923d
