precision,recall,f1_score,line_order_accuracy,similarity_ratio,total_expected_lines,total_merge_lines,correct_lines,extra_lines,missing_lines,error_rate,scenario,merge_file,expected_file,match_score,quality_issues,match_type,adjusted_f1_score
0.92,0.8846153846153846,0.9019607843137256,0.9,0.9367088607594937,26,25,23,2,3,0.07999999999999996,scenario_6/person.java,person.java,person.java,1.0,[],exact_match,0.9019607843137256
0.8125,1.0,0.896551724137931,0.043478260869565216,0.9302325581395349,13,16,13,3,0,0.1875,scenario_26/order.java,order.java,order.java,1.0,[],exact_match,0.896551724137931
0.8125,1.0,0.896551724137931,0.043478260869565216,0.9302325581395349,13,16,13,3,0,0.1875,scenario_26/custumer.java,custumer.java,custumer.java,1.0,[],exact_match,0.896551724137931
1.0,1.0,1.0,1.0,1.0,49,49,49,0,0,0.0,scenario_12/personController.java,personController.java,personController.java,1.0,[],exact_match,1.0
0.9230769230769231,0.6666666666666666,0.7741935483870968,0.03571428571428571,0.7916666666666666,18,13,12,1,6,0.07692307692307687,scenario_21/identity.java,identity.java,identity.java,1.0,[],exact_match,0.7741935483870968
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_21/contact.java,contact.java,contact.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,10,10,10,0,0,0.0,scenario_23/personEmail.java,personEmail.java,personEmail.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,10,10,10,0,0,0.0,scenario_23/personPhone.java,personPhone.java,personPhone.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,15,15,15,0,0,0.0,scenario_23/personIdentity.java,personIdentity.java,personIdentity.java,1.0,[],exact_match,1.0
0.8846153846153846,0.8846153846153846,0.8846153846153846,0.14634146341463414,0.9135802469135802,26,26,23,3,3,0.11538461538461542,scenario_8/person.java,person.java,person.java,1.0,[],exact_match,0.8846153846153846
1.0,1.0,1.0,1.0,1.0,8,8,8,0,0,0.0,scenario_24/location.java,location.java,location.java,1.0,[],exact_match,1.0
