precision,recall,f1_score,line_order_accuracy,similarity_ratio,total_expected_lines,total_merge_lines,correct_lines,extra_lines,missing_lines,error_rate,scenario,merge_file,expected_file,match_score,quality_issues,match_type,adjusted_f1_score
0.5,0.5,0.5,0.13636363636363635,0.6428571428571429,26,26,13,13,13,0.5,scenario_6/person.java,person.java,person.java,1.0,[],exact_match,0.5
0.4666666666666667,0.5384615384615384,0.5,0.08695652173913043,0.6046511627906976,13,15,7,8,6,0.5333333333333333,scenario_26/order.java,order.java,order.java,1.0,[],exact_match,0.5
0.4666666666666667,0.5384615384615384,0.5,0.08695652173913043,0.6046511627906976,13,15,7,8,6,0.5333333333333333,scenario_26/custumer.java,custumer.java,custumer.java,1.0,[],exact_match,0.5
0.6530612244897959,0.6530612244897959,0.6530612244897959,0.1095890410958904,0.4166666666666667,49,49,32,17,17,0.34693877551020413,scenario_12/personController.java,personController.java,personController.java,1.0,[],exact_match,0.6530612244897959
0.9230769230769231,0.6666666666666666,0.7741935483870968,0.03571428571428571,0.7916666666666666,18,13,12,1,6,0.07692307692307687,scenario_21/identity.java,identity.java,identity.java,1.0,[],exact_match,0.7741935483870968
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_21/contact.java,contact.java,contact.java,1.0,[],exact_match,1.0
0.15,0.3,0.2,0.029411764705882353,0.32653061224489793,10,20,3,17,7,0.85,scenario_23/person.java,person.java,personEmail.java,0.7058823529411765,['name_mismatch'],fuzzy_match,0.14117647058823532
1.0,1.0,1.0,1.0,1.0,10,10,10,0,0,0.0,scenario_23/personEmail.java,personEmail.java,personEmail.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,10,10,10,0,0,0.0,scenario_23/personPhone.java,personPhone.java,personPhone.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,15,15,15,0,0,0.0,scenario_23/personIdentity.java,personIdentity.java,personIdentity.java,1.0,[],exact_match,1.0
0.5862068965517241,0.6538461538461539,0.6181818181818182,0.058823529411764705,0.43956043956043955,26,29,17,12,9,0.4137931034482759,scenario_8/person.java,person.java,person.java,1.0,[],exact_match,0.6181818181818182
0.4482758620689655,0.52,0.48148148148148145,0.04,0.5909090909090909,25,29,13,16,12,0.5517241379310345,scenario_7/person.java,person.java,person.java,1.0,[],exact_match,0.48148148148148145
1.0,1.0,1.0,1.0,1.0,8,8,8,0,0,0.0,scenario_24/location.java,location.java,location.java,1.0,[],exact_match,1.0
1.0,1.0,1.0,1.0,1.0,13,13,13,0,0,0.0,scenario_24/client.java,client.java,client.java,1.0,[],exact_match,1.0
