scenario_id,tool_name,file_name,precision,recall,f1_score,accuracy,total_lines_expected,total_lines_actual,lines_correctly_merged,lines_missing,lines_extra,syntactic_correctness,compilation_status,structural_integrity,lexical_similarity,semantic_similarity,edit_distance,quality_class,confidence_score,error_types,critical_errors,minor_errors,processing_time,file_size_bytes,checksum_expected,checksum_actual
scenario_10,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000312,916,89b8be755863539d99f7fb906afe5fb6,4dd6e7503c49dade67c2eb14cb93cb80
scenario_11,IntelliMerge,personController.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000332,1413,d2b811f1a07791607721acb62b5b0eb0,48c6da7f687604fd281637eb8564d0ab
scenario_12,IntelliMerge,personController.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000437,2402,fcba1c91bfe1a7bbd758656e3e6dbb96,affdaccc45dba9dfcdac480d6c4c6d5a
scenario_2,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000247,974,3f61b9e08e11c1c413150dab66a2d819,06b9d71e46006474b0c36caa30be306d
scenario_3,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000256,1055,2d9d1c23ab7076062b1112782d99c7f1,c64201159ee4bec798bbc14eb0a51a3e
scenario_30,IntelliMerge,person.java,0.0,0.0,0.0,0.0,2,1,0,2,1,True,unknown,1.0,0.9333333333333333,0.875,1,MergeQuality.FAILED,0.7266435185185185,"['missing_content', 'extra_content']",2,1,0.000191,463,3f46849a94a820e9612abf8a2f14f3e5,0b1f893c83c0143ebdece19abe2d72bb
scenario_35,IntelliMerge,person.java,1.0,1.0,1.0,0.6,3,5,1,0,0,True,unknown,1.0,0.7419354838709677,0.5897435897435898,16,MergeQuality.PERFECT,0.956988335120089,[],0,0,0.000425,343,c5b59bcfef18b7f066cfb5a1c61ad50a,ea3d1fa316b9a9d5d058011c0b059de5
scenario_36,IntelliMerge,priceCalculator.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000206,557,3553ac5c1b91cb3d191aef2ba5f0dddd,2f41598fda6d3d7c7e71a143a9549a9c
scenario_38,IntelliMerge,databaseConnection.java,1.0,1.0,1.0,0.5,1,2,1,0,0,True,unknown,1.0,0.6363636363636364,0.4666666666666667,8,MergeQuality.PERFECT,0.9257545148454239,[],0,0,0.00022,827,fc61306d4e8ce5c8e2f30ea1c8d5fd98,9c219ebdc4da49b36c9154e3ac061e5f
scenario_39,IntelliMerge,teamManager.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000207,636,28e3675c198016bcc6b6513089ed535c,7605f22e2cf0e32644934f33b063a4a0
scenario_4,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000271,1308,89b8be755863539d99f7fb906afe5fb6,7df7574656afd9d81a75befdbfa0c1b8
scenario_40,IntelliMerge,product.java,0.5,1.0,0.6666666666666666,0.75,3,4,1,0,1,False,unknown,0.8,0.7666666666666667,0.6216216216216216,14,MergeQuality.POOR,0.9944888131374617,"['unresolved_conflicts', 'syntax_errors', 'extra_content']",2,1,0.000451,631,87b96ce81b9ffd6adc20512b80cccb0c,1378aff9329f562b892d17afa477aa75
scenario_41,IntelliMerge,customer.java,0.5,0.6666666666666666,0.5714285714285715,0.2,3,5,2,1,2,False,unknown,0.8,0.8631578947368421,0.7592592592592593,26,MergeQuality.POOR,0.9781364513628409,"['unresolved_conflicts', 'syntax_errors', 'missing_content', 'extra_content']",3,2,0.002677,696,976f4f9260df79958a5cb1773c06a989,e0a0f505ea97c077b822b6f45c71a64d
scenario_5,IntelliMerge,person.java,0.0,0.0,0.0,0.0,1,0,0,1,0,False,unknown,0.7,0.0,0.0,7,MergeQuality.FAILED,1.0,"['syntax_errors', 'missing_content']",2,0,0.000135,0,89b8be755863539d99f7fb906afe5fb6,d41d8cd98f00b204e9800998ecf8427e
scenario_6,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000238,967,89b8be755863539d99f7fb906afe5fb6,89b8be755863539d99f7fb906afe5fb6
scenario_7,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000212,639,18e2449632f779738bd45dfbf4e6d9ee,cde30c76ea9723015d27916ad0c4dd8d
scenario_8,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,False,unknown,0.8,1.0,1.0,0,MergeQuality.PERFECT,1.0,"['unresolved_conflicts', 'syntax_errors']",2,0,0.000251,1135,89b8be755863539d99f7fb906afe5fb6,80e27ee413636749b03f64c0b181923d
scenario_9,IntelliMerge,person.java,1.0,1.0,1.0,1.0,1,1,1,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000199,257,a778a9862689d4b8d6f352f5aa349b02,d1fa7c28c9952cc4508fd00f1bf53e6e
