scenario_id,tool_name,file_name,precision,recall,f1_score,accuracy,total_lines_expected,total_lines_actual,lines_correctly_merged,lines_missing,lines_extra,syntactic_correctness,compilation_status,structural_integrity,lexical_similarity,semantic_similarity,edit_distance,quality_class,confidence_score,error_types,critical_errors,minor_errors,processing_time,file_size_bytes,checksum_expected,checksum_actual
scenario_1,JDime,client.java,1.0,1.0,1.0,1.0,1,1,1,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000997,967,4f740e47b863b115ab8ac975e4f2a6f3,4f740e47b863b115ab8ac975e4f2a6f3
scenario_10,JDime,person.java,0.0,0.0,0.0,0.0,1,2,0,1,2,True,unknown,1.0,0.9333333333333333,0.875,1,MergeQuality.FAILED,0.7266435185185185,"['missing_content', 'extra_content']",1,2,0.042004,778,89b8be755863539d99f7fb906afe5fb6,a83145a1874a39d428f5d1408fb71508
scenario_11,JDime,userService.java,0.0,0.0,0.0,0.0,1,2,0,1,2,False,unknown,0.8,0.9333333333333333,0.875,1,MergeQuality.FAILED,0.7266435185185185,"['unresolved_conflicts', 'syntax_errors', 'missing_content', 'extra_content']",3,2,0.019746,3075,18013a0ef7bb553932b5213e9023e37f,c23b7b97e92170e8978cdce32e3aa666
scenario_12,JDime,orderService.java,0.0,0.0,0.0,0.0,1,2,0,1,2,False,unknown,0.8,0.9333333333333333,0.875,1,MergeQuality.FAILED,0.7266435185185185,"['unresolved_conflicts', 'syntax_errors', 'missing_content', 'extra_content']",3,2,0.050761,4518,28d99ba9f62ee712bbe799caeb9d4645,7c461c95c28cd90e4d224aab90615569
scenario_13,JDime,contactInfo.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.031751,472,4d3b786b25f0d66305f0c999064ca7c9,4d3b786b25f0d66305f0c999064ca7c9
scenario_13,JDime,individual.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000689,426,c9a7b123889bcb9b38149a8d181a2884,c9a7b123889bcb9b38149a8d181a2884
scenario_14,JDime,personalInfo.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000874,433,4913d4bfadee7f18b42d4deb705dbc73,4913d4bfadee7f18b42d4deb705dbc73
scenario_14,JDime,contactDetails.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000854,482,e78e868eb44a69981cce3ff7bb923664,e78e868eb44a69981cce3ff7bb923664
scenario_15,JDime,contactInfo.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000902,473,b4c20821353df1c27e4b52d3230f2cad,b4c20821353df1c27e4b52d3230f2cad
scenario_15,JDime,individual.java,1.0,1.0,1.0,1.0,2,2,2,0,0,True,unknown,1.0,1.0,1.0,0,MergeQuality.PERFECT,1.0,[],0,0,0.000707,416,16d14c928d659fac74145135d27af953,16d14c928d659fac74145135d27af953
